"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年7月12日","11,765.00","11,327.00","11,900.00","11,100.00","12.25K","3.75%"
"2019年7月11日","11,340.00","12,092.00","12,092.00","11,006.00","21.60K","-6.23%"
"2019年7月10日","12,093.00","12,564.00","13,173.00","11,572.00","36.06K","-3.66%"
"2019年7月9日","12,553.00","12,301.52","12,811.00","12,173.00","19.16K","2.05%"
"2019年7月8日","12,301.00","11,484.00","12,382.00","11,339.00","17.84K","7.10%"
"2019年7月7日","11,486.00","11,276.00","11,618.00","11,121.56","8.42K","1.80%"
"2019年7月6日","11,283.00","10,983.00","11,720.00","10,983.00","12.21K","2.59%"
"2019年7月5日","10,998.00","11,141.00","11,440.00","10,801.98","16.37K","-1.53%"
"2019年7月4日","11,169.00","12,000.00","12,063.48","11,057.00","19.84K","-6.80%"
"2019年7月3日","11,984.00","10,903.00","12,004.00","10,903.00","28.09K","10.29%"
"2019年7月2日","10,866.00","10,639.83","10,961.00","9,745.10","28.78K","2.13%"
"2019年7月1日","10,639.00","10,777.00","11,221.00","10,099.00","24.90K","-0.99%"
"2019年6月30日","10,745.00","11,973.00","12,229.00","10,705.00","19.07K","-9.86%"
"2019年6月29日","11,921.00","12,350.73","12,350.73","11,375.00","20.39K","-3.47%"
"2019年6月28日","12,349.00","11,183.00","12,404.00","10,812.00","31.98K","10.26%"
"2019年6月27日","11,200.00","12,876.00","13,222.00","10,397.00","47.61K","-13.02%"
"2019年6月26日","12,876.00","11,746.00","13,764.00","11,693.00","55.59K","9.57%"
"2019年6月25日","11,751.00","11,070.00","11,780.00","10,992.38","21.85K","6.32%"
"2019年6月24日","11,053.00","10,913.00","11,135.00","10,560.00","14.40K","1.26%"
"2019年6月23日","10,916.00","10,745.00","11,368.00","10,576.00","18.59K","1.56%"
"2019年6月22日","10,747.95","10,227.00","11,210.00","10,098.17","36.68K","5.00%"
"2019年6月21日","10,236.00","9,557.80","10,249.00","9,557.80","22.23K","7.10%"
"2019年6月20日","9,557.10","9,305.99","9,620.80","9,241.00","10.59K","2.70%"
"2019年6月19日","9,305.90","9,094.90","9,339.90","9,062.00","5.77K","2.31%"
"2019年6月18日","9,095.90","9,351.00","9,370.90","8,945.40","10.59K","-2.78%"
"2019年6月17日","9,356.00","8,985.99","9,489.90","8,985.99","14.17K","4.12%"
"2019年6月16日","8,985.99","8,852.80","9,389.60","8,803.00","20.91K","1.47%"
"2019年6月15日","8,856.00","8,689.00","8,904.10","8,611.00","9.40K","1.92%"
"2019年6月14日","8,689.10","8,230.00","8,714.90","8,163.30","12.71K","5.61%"
"2019年6月13日","8,227.40","8,177.60","8,333.00","8,038.90","8.89K","0.64%"
