"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年7月20日","100.279","98.240","105.370","97.467","13.06M","2.08%"
"2019年7月19日","98.238","101.082","101.117","95.099","13.87M","-2.81%"
"2019年7月18日","101.075","89.977","103.935","87.000","18.76M","12.32%"
"2019年7月17日","89.988","79.527","94.370","77.004","19.62M","13.16%"
"2019年7月16日","79.523","90.424","91.840","76.708","16.92M","-12.05%"
"2019年7月15日","90.422","89.682","94.370","84.877","15.07M","0.84%"
"2019年7月14日","89.673","101.206","101.839","88.089","14.72M","-11.40%"
"2019年7月13日","101.207","104.859","105.106","97.782","11.26M","-3.48%"
"2019年7月12日","104.855","102.998","106.623","100.907","11.38M","1.80%"
"2019年7月11日","102.999","108.292","108.292","95.453","15.60M","-4.88%"
"2019年7月10日","108.284","119.214","120.166","102.607","13.78M","-9.17%"
"2019年7月9日","119.213","123.085","123.904","117.894","8.37M","-3.14%"
"2019年7月8日","123.082","119.561","124.828","118.022","8.56M","2.90%"
"2019年7月7日","119.612","118.424","120.335","117.114","8.44M","1.01%"
"2019年7月6日","118.421","118.419","121.557","117.225","8.78M","0.01%"
"2019年7月5日","118.414","119.758","120.899","116.849","10.03M","-1.13%"
"2019年7月4日","119.769","121.526","126.549","118.762","11.51M","-1.47%"
"2019年7月3日","121.554","118.711","123.067","117.146","10.29M","2.39%"
"2019年7月2日","118.722","123.092","123.835","112.872","12.65M","-3.55%"
"2019年7月1日","123.096","123.034","126.885","114.213","14.04M","0.08%"
"2019年6月30日","122.993","133.879","136.990","120.689","15.55M","-8.13%"
"2019年6月29日","133.876","120.021","136.583","116.412","14.31M","11.54%"
"2019年6月28日","120.030","115.755","121.877","114.535","12.78M","3.69%"
"2019年6月27日","115.756","131.936","133.019","111.821","18.70M","-12.26%"
"2019年6月26日","131.935","136.120","138.111","127.796","14.94M","-3.07%"
"2019年6月25日","136.113","135.712","138.378","130.299","11.45M","0.30%"
"2019年6月24日","135.707","137.649","137.655","133.213","9.58M","-1.35%"
"2019年6月23日","137.563","142.260","143.110","136.518","10.23M","-3.30%"
"2019年6月22日","142.255","138.503","145.500","137.412","15.06M","2.69%"
"2019年6月21日","138.523","135.458","140.677","135.458","12.30M","2.26%"
"2019年6月20日","135.456","136.532","136.734","133.492","9.54M","-0.79%"
"2019年6月19日","136.534","135.334","139.422","133.251","11.05M","0.89%"
"2019年6月18日","135.333","133.778","136.166","128.679","11.04M","1.16%"
"2019年6月17日","133.775","136.638","136.776","132.091","9.08M","-2.10%"
"2019年6月16日","136.639","137.616","138.005","133.567","10.48M","-0.67%"
"2019年6月15日","137.567","132.192","139.147","132.080","10.30M","4.06%"
"2019年6月14日","132.201","130.691","132.499","125.566","11.39M","1.15%"
"2019年6月13日","130.693","135.470","136.326","128.359","11.99M","-3.55%"
"2019年6月12日","135.501","135.891","142.604","131.124","15.27M","-0.28%"
"2019年6月11日","135.877","129.292","138.211","125.375","14.33M","5.09%"
"2019年6月10日","129.300","114.702","129.791","112.668","15.62M","12.72%"
"2019年6月9日","114.705","118.015","118.686","111.855","13.36M","-2.82%"
"2019年6月8日","118.036","116.982","119.152","113.827","13.43M","0.90%"
"2019年6月7日","116.985","110.770","120.569","109.349","15.56M","5.62%"
"2019年6月6日","110.759","103.670","111.394","101.460","12.58M","6.84%"
"2019年6月5日","103.667","102.128","105.045","100.369","11.67M","1.51%"
"2019年6月4日","102.122","106.441","106.536","98.578","15.51M","-4.09%"
"2019年6月3日","106.483","114.451","115.933","105.438","11.71M","-6.95%"
"2019年6月2日","114.434","112.364","116.063","111.417","9.12M","1.80%"
"2019年6月1日","112.409","114.478","116.079","111.130","10.86M","-1.81%"
"2019年5月31日","114.479","108.446","114.692","105.310","12.52M","5.56%"
"2019年5月30日","108.447","114.828","119.890","103.631","16.20M","-5.55%"
"2019年5月29日","114.817","114.797","118.040","109.210","20.06M","-0.01%"
"2019年5月28日","114.824","116.644","118.094","112.093","11.58M","-1.58%"
"2019年5月27日","116.664","110.647","121.587","110.200","18.51M","5.43%"
"2019年5月26日","110.655","102.712","111.949","99.242","19.50M","7.73%"
"2019年5月25日","102.714","100.251","104.597","98.768","17.28M","2.46%"
"2019年5月24日","100.243","88.591","102.423","88.352","21.36M","13.16%"
"2019年5月23日","88.587","87.906","89.416","85.228","11.77M","0.78%"
"2019年5月22日","87.901","90.868","91.930","87.160","12.17M","-3.27%"
"2019年5月21日","90.871","91.104","92.194","89.027","11.91M","-0.26%"
"2019年5月20日","91.103","94.639","94.643","88.577","15.09M","-3.74%"
"2019年5月19日","94.642","86.635","96.058","86.386","19.29M","9.26%"
"2019年5月18日","86.624","89.511","90.281","85.169","15.38M","-3.22%"
"2019年5月17日","89.510","95.417","97.341","84.518","24.56M","-6.19%"
"2019年5月16日","95.415","101.599","106.543","92.077","28.46M","-6.09%"
"2019年5月15日","101.601","91.567","103.834","90.700","25.39M","10.97%"
"2019年5月14日","91.560","87.682","93.772","86.986","18.74M","4.41%"
"2019年5月13日","87.695","84.795","92.522","84.424","15.89M","3.42%"
"2019年5月12日","84.794","88.047","93.804","83.800","21.95M","-3.89%"
"2019年5月11日","88.224","77.052","95.247","77.052","23.10M","14.53%"
"2019年5月10日","77.035","74.192","79.138","72.801","12.15M","3.87%"
"2019年5月9日","74.166","74.425","76.562","72.874","9.24M","-0.36%"
"2019年5月8日","74.432","74.725","75.493","72.848","9.16M","-0.39%"
"2019年5月7日","74.726","74.919","78.384","74.197","12.76M","-0.25%"
"2019年5月6日","74.914","75.668","76.423","71.824","12.98M","-0.98%"
"2019年5月5日","75.652","77.806","78.016","75.535","11.35M","-2.77%"
"2019年5月4日","77.806","79.158","82.339","74.997","14.82M","-1.71%"
"2019年5月3日","79.160","73.713","80.028","73.334","14.73M","7.38%"
"2019年5月2日","73.718","73.384","74.359","72.763","10.34M","0.43%"
"2019年5月1日","73.400","74.228","75.207","71.987","10.53M","-1.12%"
"2019年4月30日","74.235","67.737","74.599","67.693","13.22M","9.60%"
"2019年4月29日","67.730","69.869","70.334","66.768","9.37M","-3.04%"
"2019年4月28日","69.857","72.218","72.602","69.107","9.55M","-3.27%"
"2019年4月27日","72.221","73.767","73.888","72.023","7.97M","-2.10%"
"2019年4月26日","73.771","71.776","76.030","70.460","12.28M","2.87%"
"2019年4月25日","71.713","72.884","74.214","70.879","11.07M","-1.61%"
"2019年4月24日","72.884","73.810","74.729","70.423","14.47M","-1.28%"
"2019年4月23日","73.828","76.508","78.936","73.808","11.16M","-3.50%"
"2019年4月22日","76.504","76.696","77.474","75.103","10.11M","-0.24%"
"2019年4月21日","76.691","80.991","81.450","73.992","11.99M","-5.31%"
"2019年4月20日","80.990","82.173","82.528","79.665","8.48M","-1.44%"
"2019年4月19日","82.173","81.796","82.983","80.022","9.87M","0.47%"
"2019年4月18日","81.791","78.963","82.917","78.898","9.93M","3.59%"
"2019年4月17日","78.960","80.406","81.347","78.298","8.35M","-1.81%"
"2019年4月16日","80.415","78.182","81.251","77.323","8.03M","2.84%"
"2019年4月15日","78.196","83.281","84.299","75.494","11.12M","-6.10%"
"2019年4月14日","83.277","77.670","83.291","76.259","8.00M","7.21%"
"2019年4月13日","77.675","78.519","81.012","75.761","7.93M","-1.08%"
"2019年4月12日","78.519","79.006","80.265","75.216","8.94M","-0.62%"
"2019年4月11日","79.007","88.159","88.393","74.998","12.71M","-10.38%"
"2019年4月10日","88.160","86.219","90.553","86.138","7.49M","2.24%"
"2019年4月9日","86.231","88.723","88.797","83.291","7.69M","-2.81%"
"2019年4月8日","88.728","91.605","93.630","85.641","9.59M","-3.14%"
"2019年4月7日","91.607","92.291","95.428","89.117","9.03M","-0.75%"
"2019年4月6日","92.300","88.267","97.259","85.401","10.84M","4.59%"
"2019年4月5日","88.254","84.810","89.538","84.388","9.15M","4.04%"
"2019年4月4日","84.830","85.219","89.607","80.774","14.05M","-0.46%"
"2019年4月3日","85.223","76.863","97.788","76.553","32.30M","10.87%"
"2019年4月2日","76.867","60.613","78.252","60.353","23.25M","26.82%"
"2019年4月1日","60.612","60.782","61.054","60.339","9.12M","-0.28%"
"2019年3月31日","60.785","60.788","60.998","60.267","7.38M","-0.00%"
"2019年3月30日","60.787","61.591","61.717","60.306","8.38M","-1.30%"
"2019年3月29日","61.590","60.756","61.775","60.406","9.28M","1.37%"
"2019年3月28日","60.756","61.657","61.684","60.433","7.85M","-1.47%"
"2019年3月27日","61.662","59.034","61.920","58.866","11.82M","4.46%"
"2019年3月26日","59.031","59.277","59.444","57.790","8.99M","-0.41%"
"2019年3月25日","59.272","59.986","63.161","58.484","12.22M","-1.19%"
"2019年3月24日","59.985","61.044","61.044","59.256","10.93M","-1.74%"
"2019年3月23日","61.044","59.440","61.677","59.141","12.32M","2.69%"
"2019年3月22日","59.444","58.790","59.700","58.305","9.78M","1.11%"
"2019年3月21日","58.790","60.442","60.722","57.633","11.11M","-2.72%"
"2019年3月20日","60.437","59.647","60.707","57.461","12.29M","1.33%"
"2019年3月19日","59.643","59.338","60.034","58.559","11.03M","0.51%"
"2019年3月18日","59.338","60.668","62.571","58.486","13.66M","-2.19%"
"2019年3月17日","60.668","61.322","61.438","59.904","10.14M","-1.07%"
"2019年3月16日","61.321","58.614","61.978","58.548","13.90M","4.63%"
"2019年3月15日","58.610","56.055","59.131","56.055","11.36M","4.56%"
"2019年3月14日","56.054","55.448","57.836","53.831","11.01M","1.09%"
"2019年3月13日","55.450","56.705","56.900","54.607","10.40M","-2.22%"
"2019年3月12日","56.707","54.965","57.040","52.689","14.16M","3.17%"
