"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年11月27日","8,444.71","8,407.24","8,445.60","8,399.63","114.02M","0.70%"
"2019年11月26日","8,385.75","8,374.26","8,398.04","8,364.11","233.83M","0.17%"
"2019年11月25日","8,371.93","8,309.55","8,372.82","8,309.55","154.32M","1.21%"
"2019年11月22日","8,272.05","8,287.25","8,292.11","8,229.49","126.47M","0.08%"
"2019年11月21日","8,265.62","8,273.95","8,282.33","8,242.22","145.46M","-0.22%"
"2019年11月20日","8,283.75","8,315.55","8,339.26","8,226.25","271.48M","-0.66%"
"2019年11月19日","8,338.74","8,357.43","8,357.80","8,308.27","155.13M","0.12%"
"2019年11月18日","8,328.48","8,303.22","8,340.41","8,274.68","151.11M","0.16%"
"2019年11月15日","8,315.52","8,303.84","8,315.90","8,284.20","184.10M","0.70%"
"2019年11月14日","8,257.83","8,238.85","8,264.94","8,212.59","132.49M","-0.02%"
"2019年11月13日","8,259.81","8,235.68","8,274.61","8,233.38","136.69M","-0.05%"
"2019年11月12日","8,263.79","8,249.62","8,293.18","8,238.33","129.36M","0.27%"
"2019年11月11日","8,241.91","8,212.37","8,245.89","8,202.36","112.63M","-0.17%"
"2019年11月8日","8,255.89","8,208.37","8,256.29","8,186.31","135.07M","0.44%"
"2019年11月7日","8,219.65","8,237.68","8,271.82","8,198.91","166.56M","0.29%"
"2019年11月6日","8,196.03","8,204.34","8,204.34","8,157.36","144.67M","-0.17%"
"2019年11月5日","8,210.17","8,225.34","8,229.09","8,191.05","153.80M","-0.01%"
"2019年11月4日","8,210.66","8,218.93","8,228.33","8,197.32","150.90M","0.61%"
